"avg_delivery_delay_days","avg_review_score"
"7.61","5.0"
"16.22","4.0"
"7.95","5.0"
"6.15","4.0"
"25.11","5.0"
"6.67","4.0"
"8.42","4.0"
"5.08","5.0"
"9.98","1.0"
"2.15","4.0"
"4.08","5.0"
"10.86","5.0"
"6.33","5.0"
"12.66","5.0"
"7.64","5.0"
"5.36","4.0"
"6.84","1.0"
"7.22","5.0"
"18.29","3.0"
"3.79","3.0"
"17.94","3.0"
"15.26","4.0"
"9.44","4.0"
"11.82","5.0"
"10.70","5.0"
"10.02","4.0"
"15.13","5.0"
"1.76","5.0"
"14.96","5.0"
"17.10","4.0"
"18.20","2.0"
"16.00","5.0"
"18.48","5.0"
"7.45","1.0"
"23.94","5.0"
"46.43","1.0"
"9.16","5.0"
"10.66","5.0"
"21.84","4.0"
"8.26","5.0"
"11.04","5.0"
"27.97","2.0"
"11.83","1.0"
"21.68","5.0"
"16.00","5.0"
"10.11","5.0"
"16.32","1.0"
"4.12","4.0"
"9.69","5.0"
"10.35","4.0"
"5.10","5.0"
"9.31","5.0"
"21.91","5.0"
"7.82","4.0"
"23.07","5.0"
"23.05","4.0"
"4.66","5.0"
"11.03","4.0"
"9.86","5.0"
"31.34","4.0"
"18.35","5.0"
"13.17","4.0"
"8.20","5.0"
"5.77","4.0"
"8.49","5.0"
"21.98","4.0"
"8.71","5.0"
"8.51","5.0"
"3.90","4.0"
"7.98","3.0"
"4.06","5.0"
"3.41","5.0"
"42.18","1.0"
"21.95","5.0"
"23.80","5.0"
"50.09","1.0"
"11.55","1.0"
"8.02","5.0"
"1.97","5.0"
"16.42","3.0"
"10.42","5.0"
"11.76","5.0"
"13.66","4.0"
"5.59","5.0"
"20.98","2.0"
"10.79","5.0"
"24.08","4.0"
"5.97","5.0"
"14.56","5.0"
"8.40","5.0"
"20.39","1.0"
"3.67","5.0"
"10.20","3.0"
"54.15","4.0"
"7.94","4.0"
"26.59","5.0"
"35.08","1.0"
"2.25","5.0"
"10.85","5.0"
"22.97","2.0"
"12.07","5.0"
"1.97","1.0"
"7.45","5.0"
"17.13","4.0"
"19.16","5.0"
"8.26","5.0"
"5.96","5.0"
"3.13","5.0"
"20.60","5.0"
"1.80","5.0"
"31.41","1.0"
"8.26","5.0"
"3.99","5.0"
"9.15","5.0"
"6.59","5.0"
"1.11","5.0"
"23.53","3.0"
"21.02","5.0"
"5.28","5.0"
"14.13","3.0"
"8.91","1.0"
"15.91","5.0"
"19.13","4.0"
"11.51","5.0"
"2.99","5.0"
"12.20","1.0"
"3.21","5.0"
"21.20","5.0"
"18.13","5.0"
"17.93","5.0"
"9.30","1.0"
"34.40","3.0"
"16.15","5.0"
"26.14","5.0"
"5.39","4.0"
"12.27","5.0"
"3.82","5.0"
"7.12","5.0"
"9.37","4.0"
"5.82","5.0"
"9.92","5.0"
"19.56","5.0"
"37.52","1.0"
"16.95","1.0"
"6.39","5.0"
"7.43","5.0"
"9.15","5.0"
"7.98","5.0"
"3.98","5.0"
"5.81","5.0"
"2.35","5.0"
"6.56","4.0"
"8.39","5.0"
"5.93","4.0"
"13.85","2.0"
"2.41","5.0"
"9.53","4.0"
"8.36","4.0"
"2.53","5.0"
"9.93","5.0"
"12.04","4.0"
"18.79","5.0"
"15.14","5.0"
"5.09","5.0"
"2.33","5.0"
"11.29","4.0"
"20.39","2.0"
"12.40","5.0"
"11.11","5.0"
"7.12","3.0"
"4.85","2.0"
"14.25","5.0"
"12.97","3.0"
"50.93","1.0"
"8.04","4.0"
"4.74","5.0"
"1.39","5.0"
"2.94","3.0"
"8.91","5.0"
"24.79","5.0"
"31.28","1.0"
"8.87","1.0"
"4.88","4.0"
"5.01","5.0"
"6.51","3.0"
"9.44","5.0"
"23.42","5.0"
"2.90","1.0"
"10.99","5.0"
"7.03","5.0"
"9.09","5.0"
"4.13","4.0"
"7.06","5.0"
"14.07","5.0"
"7.63","4.0"
"2.88","5.0"
"15.80","1.0"
"11.75","5.0"
"6.74","4.0"
"22.34","5.0"
"68.05","4.0"
"43.14","2.0"
"2.42","5.0"
"5.05","4.0"
"16.00","1.0"
"12.31","3.0"
"13.00","4.0"
"13.34","5.0"
"7.31","1.0"
"7.13","4.0"
"6.69","5.0"
"20.34","5.0"
"11.98","5.0"
"24.32","4.0"
"12.34","5.0"
"1.85","4.0"
"5.17","5.0"
"22.38","1.0"
"1.99","5.0"
"3.99","2.0"
"6.94","1.0"
"10.20","5.0"
"19.09","5.0"
"11.32","5.0"
"10.34","5.0"
"15.63","5.0"
"10.21","3.0"
"8.04","4.0"
"9.72","3.0"
"11.00","5.0"
"7.66","4.0"
"4.26","5.0"
"12.60","4.0"
"12.03","2.0"
"11.24","5.0"
"31.69","3.0"
"13.40","2.0"
"14.48","5.0"
"13.00","5.0"
"5.09","5.0"
"7.29","3.0"
"6.50","4.0"
"17.19","5.0"
"17.75","5.0"
"1.69","5.0"
"13.95","4.0"
"8.20","5.0"
"7.81","5.0"
"6.02","4.0"
"7.76","5.0"
"12.83","3.0"
"6.20","4.0"
"10.17","1.0"
"5.26","5.0"
"12.35","5.0"
"25.29","5.0"
"15.59","5.0"
"9.85","5.0"
"5.76","4.0"
"8.60","5.0"
"4.90","3.0"
"12.47","1.0"
"7.73","4.0"
"4.11","5.0"
"6.35","5.0"
"6.21","5.0"
"4.87","2.0"
"36.08","5.0"
"22.94","1.0"
"9.78","5.0"
"8.16","1.0"
"26.31","5.0"
"2.13","5.0"
"41.87","4.0"
"3.82","5.0"
"9.38","4.0"
"12.66","4.0"
"5.90","5.0"
"12.25","5.0"
"13.00","5.0"
"16.86","5.0"
"4.61","3.0"
"12.15","1.0"
"8.07","4.0"
"9.56","5.0"
"9.98","4.0"
"9.78","4.0"
"7.73","1.0"
"18.37","5.0"
"7.83","5.0"
"10.16","4.0"
"5.55","5.0"
"12.41","5.0"
"6.88","4.0"
"12.31","5.0"
"50.28","1.0"
"9.15","5.0"
"96.31","1.0"
"14.10","5.0"
"8.97","5.0"
"7.19","5.0"
"8.22","5.0"
"14.12","5.0"
"35.56","3.0"
"8.36","5.0"
"4.54","5.0"
"7.05","5.0"
"21.70","4.0"
"25.03","3.0"
"21.66","4.0"
"21.46","5.0"
"19.08","5.0"
"5.39","5.0"
"6.56","5.0"
"57.83","4.0"
"22.12","3.0"
"13.80","4.0"
"8.30","1.0"
"7.18","5.0"
"9.39","5.0"
"12.34","5.0"
"11.18","5.0"
"6.49","5.0"
"11.89","5.0"
"3.80","5.0"
"21.67","4.0"
"8.81","4.0"
"7.53","1.0"
"23.57","5.0"
"10.90","4.0"
"10.11","1.0"
"7.81","5.0"
"3.12","5.0"
"13.23","5.0"
"34.12","4.0"
"9.04","4.0"
"5.92","5.0"
"11.63","1.0"
"10.78","5.0"
"8.92","4.0"
"7.30","5.0"
"4.20","5.0"
"12.16","3.0"
"17.92","4.0"
"23.08","5.0"
"12.49","5.0"
"7.73","5.0"
"11.67","4.0"
"8.19","5.0"
"6.96","3.0"
"15.73","5.0"
"12.42","5.0"
"10.79","5.0"
"10.60","5.0"
"4.95","5.0"
"11.37","5.0"
"13.31","1.0"
"9.06","5.0"
"8.35","5.0"
"5.09","3.0"
"21.50","5.0"
"7.25","5.0"
"19.41","5.0"
"7.03","5.0"
"1.85","5.0"
"13.02","5.0"
"10.63","4.0"
"9.69","5.0"
"9.31","5.0"
"27.90","1.0"
"21.27","5.0"
"7.86","5.0"
"6.94","5.0"
"18.27","5.0"
"24.41","4.0"
"2.40","5.0"
"20.28","5.0"
"5.96","5.0"
"10.24","5.0"
"8.04","5.0"
"18.65","5.0"
"5.64","5.0"
"16.87","5.0"
"12.15","4.0"
"9.94","3.0"
"6.12","5.0"
"15.31","1.0"
"6.47","4.0"
"8.16","4.0"
"9.99","5.0"
"24.26","4.0"
"7.80","3.0"
"26.38","5.0"
"8.34","4.0"
"7.96","2.0"
"23.67","1.0"
"19.62","1.0"
"12.04","5.0"
"13.05","5.0"
"21.90","2.0"
"4.37","4.0"
"4.98","4.0"
"11.63","3.0"
"4.15","5.0"
"13.95","5.0"
"24.97","4.0"
"20.12","1.0"
"6.92","2.0"
"8.53","5.0"
"5.76","5.0"
"9.20","5.0"
"4.90","5.0"
"8.25","5.0"
"10.00","5.0"
"3.14","1.0"
"22.32","5.0"
"27.96","5.0"
"12.08","1.0"
"15.31","2.0"
"3.14","5.0"
"8.09","2.0"
"32.49","2.0"
"15.38","5.0"
"9.77","5.0"
"7.35","5.0"
"6.79","4.0"
"16.05","5.0"
"12.20","4.0"
"14.53","5.0"
"13.21","5.0"
"5.02","5.0"
"6.07","5.0"
"7.19","4.0"
"9.03","4.0"
"10.42","1.0"
