"freight_cost","avg_review_score"
"65.87","5.00"
"40.24","5.00"
"39.43","5.00"
"47.07","5.00"
"79.39","5.00"
"62.56","5.00"
"40.50","5.00"
"32.32","5.00"
"102.63","5.00"
"66.43","5.00"
"42.70","5.00"
"32.57","5.00"
"67.67","5.00"
"40.72","5.00"
"40.82","5.00"
"32.04","5.00"
"44.59","5.00"
"90.06","5.00"
"70.24","5.00"
"54.82","5.00"
"45.68","5.00"
"75.27","5.00"
"74.79","5.00"
"70.34","5.00"
"71.25","5.00"
"70.52","5.00"
"45.61","5.00"
"78.60","5.00"
"111.20","5.00"
"36.42","5.00"
"66.00","5.00"
"3.93","5.00"
"47.87","5.00"
"154.38","5.00"
"2.63","5.00"
"64.33","5.00"
"66.60","5.00"
"158.38","5.00"
"104.93","5.00"
"53.01","5.00"
"56.10","5.00"
"85.70","5.00"
"38.15","5.00"
"46.91","5.00"
"33.78","5.00"
"123.95","5.00"
"80.47","5.00"
"32.41","5.00"
"89.73","5.00"
"46.30","5.00"
"55.68","5.00"
"78.41","5.00"
"60.90","5.00"
"62.65","5.00"
"142.97","5.00"
"61.09","5.00"
"70.39","5.00"
"77.65","5.00"
"36.46","5.00"
"44.32","5.00"
"8.24","5.00"
"6.43","5.00"
"61.38","5.00"
"65.46","5.00"
"65.24","5.00"
"56.25","5.00"
"63.87","5.00"
"29.78","5.00"
"29.99","5.00"
"46.26","5.00"
"98.47","5.00"
"32.95","5.00"
"133.81","5.00"
"86.34","5.00"
"83.32","5.00"
"96.90","5.00"
"171.32","5.00"
"104.43","5.00"
"46.33","5.00"
"53.42","5.00"
"104.72","5.00"
"59.70","5.00"
"74.59","5.00"
"89.50","5.00"
"55.90","5.00"
"135.31","5.00"
"41.34","5.00"
"3.61","5.00"
"81.62","5.00"
"69.71","5.00"
"36.44","5.00"
"24.16","5.00"
"55.34","5.00"
"37.86","5.00"
"71.59","5.00"
"60.14","5.00"
"72.52","5.00"
"67.30","5.00"
"133.30","5.00"
"72.16","5.00"
"6.19","5.00"
"39.82","5.00"
"36.17","5.00"
"6.54","5.00"
"55.30","5.00"
"52.58","5.00"
"59.64","5.00"
"44.54","5.00"
"63.19","5.00"
"75.33","5.00"
"48.32","5.00"
"59.43","5.00"
"29.82","5.00"
"68.59","5.00"
"64.25","5.00"
"84.65","5.00"
"6.75","5.00"
"162.08","5.00"
"66.33","5.00"
"3.06","5.00"
"55.48","5.00"
"42.42","5.00"
"113.02","5.00"
"58.93","5.00"
"65.28","5.00"
"87.28","5.00"
"48.99","5.00"
"133.87","5.00"
"173.02","5.00"
"47.56","5.00"
"42.67","5.00"
"51.80","5.00"
"3.03","5.00"
"53.74","5.00"
"127.10","5.00"
"62.92","5.00"
"102.55","5.00"
"2.65","5.00"
"48.18","5.00"
"96.41","5.00"
"64.58","5.00"
"1.66","5.00"
"54.52","5.00"
"61.36","5.00"
"41.10","5.00"
"49.29","5.00"
"151.34","5.00"
"103.12","5.00"
"45.69","5.00"
"46.17","5.00"
"43.18","5.00"
"55.83","5.00"
"52.34","5.00"
"59.47","5.00"
"51.47","5.00"
"106.21","5.00"
"49.12","5.00"
"46.76","5.00"
"158.42","5.00"
"62.64","5.00"
"10.34","5.00"
"85.69","5.00"
"59.34","5.00"
"43.74","5.00"
"54.91","5.00"
"5.82","5.00"
"53.04","5.00"
"66.59","5.00"
"46.60","5.00"
"97.07","5.00"
"62.02","5.00"
